txn_id,checkout_dt,item_id,patron_id,checkout_location,loan_policy_days,collection,subject,due_dt,patron_group,risk_profile,renewal_count,return_dt,is_returned,is_late,late_days
T0000023,2025-03-03,I003629,P001707,Main,7,DVD,HSS,2025-03-10,Grad,high,0,2025-03-13,True,True,3.0
T0000024,2025-11-24,I001858,P000280,Main,28,Book,HSS,2025-12-22,Undergrad,high,0,2025-12-25,True,True,3.0
T0000025,2025-09-26,I002511,P002712,Main,28,Book,HSS,2025-10-24,Undergrad,medium,0,2025-10-23,True,False,0.0
T0000026,2024-04-22,I003937,P000489,Main,28,Book,STEM,2024-05-20,Undergrad,low,1,2024-05-20,True,False,0.0
T0000027,2024-10-21,I003883,P002861,Main,1,CourseReserve,STEM,2024-10-22,Undergrad,high,0,2024-10-21,True,False,0.0
T0000028,2024-03-11,I001918,P002593,Main,28,Book,HSS,2024-04-08,Faculty,low,2,2024-04-08,True,False,0.0
T0000029,2025-09-13,I003124,P000642,Main,28,Book,Medicine,2025-10-11,Grad,low,1,2025-10-08,True,False,0.0
T0000030,2025-03-17,I005634,P000393,Main,28,Book,Medicine,2025-04-14,Grad,low,1,2025-04-13,True,False,0.0
T0000031,2025-05-23,I002013,P001729,Main,3,Laptop,Law,2025-05-26,Undergrad,medium,0,2025-05-26,True,False,0.0
T0000032,2024-04-27,I003592,P000977,Main,28,Book,HSS,2024-05-25,Undergrad,low,0,2024-05-24,True,False,0.0
T0000033,2025-06-16,I005252,P002375,Main,1,CourseReserve,Business,2025-06-17,Staff,low,0,2025-06-15,True,False,0.0
T0000034,2024-06-15,I003777,P001198,Main,7,DVD,STEM,2024-06-22,Undergrad,low,0,2024-06-21,True,False,0.0
T0000035,2025-12-14,I001280,P000331,Main,28,Book,STEM,2026-01-11,Grad,low,1,2026-01-09,True,False,0.0
T0000036,2025-10-10,I003710,P000844,Main,1,CourseReserve,STEM,2025-10-11,Undergrad,low,0,2025-10-09,True,False,0.0
T0000037,2024-01-12,I003643,P001971,Main,28,Book,HSS,2024-02-09,Undergrad,low,1,2024-02-07,True,False,0.0
T0000038,2025-05-04,I005615,P002142,Main,28,Book,HSS,2025-06-01,Grad,high,0,2025-06-02,True,True,1.0
T0000039,2024-09-15,I003613,P000749,Main,28,Book,Medicine,2024-10-13,Undergrad,low,0,2024-10-10,True,False,0.0
T0000040,2025-05-12,I001068,P001717,Main,28,Book,STEM,2025-06-09,Grad,low,1,2025-06-07,True,False,0.0
T0000041,2024-05-06,I005414,P001856,Main,28,Book,HSS,2024-06-03,Staff,high,0,2024-06-06,True,True,3.0
T0000042,2024-08-04,I004825,P000036,Main,28,Book,Law,2024-09-01,Grad,medium,0,2024-08-31,True,False,0.0
T0000043,2024-02-03,I001170,P002082,Main,28,Book,HSS,2024-03-02,Faculty,medium,2,2024-03-01,True,False,0.0
T0000044,2024-10-06,I004747,P000135,Main,28,Book,Medicine,2024-11-03,Undergrad,medium,1,2024-11-02,True,False,0.0
T0000045,2025-03-15,I002053,P000814,Main,28,Book,Arts,2025-04-12,Undergrad,medium,2,2025-04-10,True,False,0.0
T0000046,2025-10-05,I005053,P002103,Main,28,Book,Law,2025-11-02,Undergrad,medium,1,2025-11-01,True,False,0.0
T0000047,2024-05-30,I002695,P001518,Main,1,CourseReserve,STEM,2024-05-31,Staff,high,0,2024-06-04,True,True,4.0
T0000048,2025-10-12,I000443,P000209,Main,28,Book,Business,2025-11-09,Undergrad,low,1,2025-11-09,True,False,0.0
T0000049,2025-08-24,I000293,P002408,Main,7,DVD,Arts,2025-08-31,Grad,low,1,2025-08-28,True,False,0.0
T0000050,2025-04-16,I002027,P001318,Main,28,Book,Business,2025-05-14,Undergrad,medium,1,2025-05-14,True,False,0.0
T0000051,2025-10-01,I002493,P002246,Main,28,Book,STEM,2025-10-29,Undergrad,medium,0,2025-10-27,True,False,0.0
T0000052,2024-09-08,I001955,P000452,Main,1,CourseReserve,Medicine,2024-09-09,Faculty,low,0,2024-09-07,True,False,0.0
T0000053,2025-11-23,I000501,P002118,Main,28,Book,HSS,2025-12-21,Undergrad,low,2,2025-12-19,True,False,0.0
T0000054,2024-05-08,I005321,P000760,Main,28,Book,STEM,2024-06-05,Undergrad,low,2,2024-06-02,True,False,0.0
T0000055,2025-02-25,I001937,P002597,Main,28,Book,STEM,2025-03-25,Staff,low,0,2025-03-23,True,False,0.0
T0000056,2024-12-09,I003900,P000093,Main,7,DVD,HSS,2024-12-16,Undergrad,low,2,2024-12-14,True,False,0.0
T0000057,2025-07-13,I004335,P001839,Main,28,Book,HSS,2025-08-10,Undergrad,low,1,2025-08-08,True,False,0.0
T0000058,2024-09-23,I003523,P001214,Main,28,Book,Arts,2024-10-21,Staff,low,1,2024-10-19,True,False,0.0
T0000059,2025-11-08,I005096,P002774,Main,28,Book,HSS,2025-12-06,Undergrad,low,1,2025-12-07,True,True,1.0
T0000060,2024-03-09,I002193,P001103,Main,28,Book,STEM,2024-04-06,Undergrad,low,1,2024-04-04,True,False,0.0
T0000061,2025-03-22,I005223,P000647,Main,28,Book,Business,2025-04-19,Undergrad,medium,0,2025-04-20,True,True,1.0
T0000062,2024-02-22,I002381,P000495,Main,7,DVD,STEM,2024-02-29,Undergrad,low,1,2024-02-27,True,False,0.0
T0000063,2025-12-13,I002003,P002261,Main,3,Laptop,HSS,2025-12-16,Undergrad,medium,1,2025-12-17,True,True,1.0
T0000064,2024-05-24,I002213,P001929,Main,28,Book,HSS,2024-06-21,Faculty,low,2,2024-06-18,True,False,0.0
T0000065,2025-08-04,I000174,P002982,Main,28,Book,Medicine,2025-09-01,Undergrad,low,1,2025-08-30,True,False,0.0
T0000066,2025-06-19,I003014,P002909,Main,28,Book,HSS,2025-07-17,Undergrad,medium,1,2025-07-16,True,False,0.0
T0000067,2025-12-16,I004770,P001099,Main,28,Book,STEM,2026-01-13,Undergrad,low,1,2026-01-12,True,False,0.0
T0000068,2025-11-18,I000867,P002955,Main,28,Book,STEM,2025-12-16,Grad,medium,1,2025-12-14,True,False,0.0
T0000069,2025-10-08,I004647,P002855,Main,28,Book,Medicine,2025-11-05,Undergrad,low,0,2025-11-02,True,False,0.0
T0000070,2025-04-13,I004046,P001975,Main,28,Book,Law,2025-05-11,Faculty,low,1,2025-05-09,True,False,0.0
T0000071,2025-01-15,I001526,P000965,Main,28,Book,Law,2025-02-12,Undergrad,medium,1,2025-02-13,True,True,1.0
T0000072,2024-05-24,I005388,P002155,Main,1,CourseReserve,Business,2024-05-25,Faculty,medium,0,2024-05-25,True,False,0.0
T0000073,2025-04-06,I002471,P000875,Main,28,Book,HSS,2025-05-04,Community,low,1,2025-05-01,True,False,0.0
T0000074,2025-06-06,I002754,P002216,Main,28,Book,HSS,2025-07-04,Undergrad,low,0,2025-07-02,True,False,0.0
T0000075,2025-11-24,I000167,P000501,Main,28,Book,STEM,2025-12-22,Faculty,high,1,2025-12-23,True,True,1.0
T0000076,2024-08-10,I004006,P000925,Main,28,Book,Medicine,2024-09-07,Undergrad,low,1,2024-09-05,True,False,0.0
T0000077,2024-09-29,I004313,P000944,Main,28,Book,Arts,2024-10-27,Faculty,low,1,2024-10-27,True,False,0.0
T0000078,2024-11-28,I004699,P002267,Main,28,Book,Business,2024-12-26,Community,low,0,2024-12-23,True,False,0.0
T0000079,2025-05-17,I001336,P002479,Main,28,Book,HSS,2025-06-14,Undergrad,medium,0,2025-06-13,True,False,0.0
T0000080,2025-09-18,I000412,P000411,Main,1,CourseReserve,STEM,2025-09-19,Grad,medium,0,2025-09-21,True,True,2.0
T0000081,2024-07-20,I004587,P001337,Main,28,Book,HSS,2024-08-17,Staff,low,0,2024-08-14,True,False,0.0
T0000082,2025-01-29,I000558,P000184,Main,28,Book,HSS,2025-02-26,Undergrad,low,2,2025-02-24,True,False,0.0
T0000083,2024-07-14,I005531,P000262,Main,28,Book,Arts,2024-08-11,Undergrad,medium,1,2024-08-12,True,True,1.0
T0000084,2024-12-08,I003145,P000013,Main,28,Book,Business,2025-01-05,Staff,high,0,2025-01-08,True,True,3.0
T0000085,2025-11-18,I004957,P002097,Main,28,Book,STEM,2025-12-16,Grad,medium,2,2025-12-15,True,False,0.0
T0000086,2025-10-15,I004040,P001187,Main,28,Book,HSS,2025-11-12,Undergrad,low,2,2025-11-09,True,False,0.0
T0000087,2024-12-05,I005622,P002380,Main,3,Laptop,HSS,2024-12-08,Undergrad,low,0,2024-12-07,True,False,0.0
T0000088,2024-10-04,I000871,P002917,Main,28,Book,STEM,2024-11-01,Faculty,low,2,2024-10-30,True,False,0.0
T0000089,2025-02-01,I005112,P001445,Main,7,DVD,HSS,2025-02-08,Undergrad,low,0,2025-02-05,True,False,0.0
T0000090,2025-06-24,I005351,P001702,Main,28,Book,STEM,2025-07-22,Grad,low,0,2025-07-20,True,False,0.0
T0000091,2024-03-24,I004046,P000933,Main,28,Book,Law,2024-04-21,Grad,medium,0,2024-04-22,True,True,1.0
T0000092,2024-06-16,I002199,P002729,Main,28,Book,STEM,2024-07-14,Staff,low,0,2024-07-11,True,False,0.0
T0000093,2024-03-26,I003841,P001179,Main,28,Book,Medicine,2024-04-23,Undergrad,medium,0,2024-04-20,True,False,0.0
T0000094,2024-01-14,I002369,P000043,Main,28,Book,Law,2024-02-11,Staff,low,2,2024-02-08,True,False,0.0
T0000095,2025-08-11,I002883,P001430,Main,28,Book,HSS,2025-09-08,Undergrad,medium,1,2025-09-08,True,False,0.0
T0000096,2024-10-10,I002024,P001115,Main,28,Book,STEM,2024-11-07,Grad,medium,1,2024-11-05,True,False,0.0
T0000097,2025-07-28,I004764,P001401,Main,28,Book,HSS,2025-08-25,Community,medium,0,2025-08-24,True,False,0.0
T0000098,2024-12-29,I004321,P002958,Main,28,Book,STEM,2025-01-26,Faculty,high,2,2025-01-27,True,True,1.0
T0000099,2025-05-13,I003607,P000441,Main,7,DVD,Business,2025-05-20,Faculty,medium,2,2025-05-19,True,False,0.0
T0000100,2024-12-30,I001199,P000843,Main,28,Book,Arts,2025-01-27,Undergrad,low,1,2025-01-24,True,False,0.0
T0000101,2024-12-23,I002735,P001822,Main,1,CourseReserve,STEM,2024-12-24,Undergrad,low,0,2024-12-23,True,False,0.0
T0000102,2025-10-18,I004349,P000157,Main,7,DVD,STEM,2025-10-25,Undergrad,low,1,2025-10-23,True,False,0.0
T0000103,2025-04-09,I001653,P002065,Main,28,Book,HSS,2025-05-07,Faculty,medium,2,2025-05-06,True,False,0.0
T0000104,2024-03-19,I003745,P002569,Main,28,Book,HSS,2024-04-16,Faculty,medium,2,2024-04-15,True,False,0.0
T0000105,2025-02-18,I004983,P000808,Main,28,Book,Medicine,2025-03-18,Undergrad,medium,1,2025-03-20,True,True,2.0
T0000106,2024-04-10,I003323,P000216,Main,28,Book,Law,2024-05-08,Undergrad,low,0,2024-05-05,True,False,0.0
T0000107,2025-02-27,I003962,P000626,Main,28,Book,STEM,2025-03-27,Undergrad,low,0,2025-03-26,True,False,0.0
T0000108,2025-04-25,I004607,P000040,Main,7,DVD,Law,2025-05-02,Undergrad,low,0,2025-04-29,True,False,0.0
T0000109,2024-05-18,I000737,P002182,Main,28,Book,Arts,2024-06-15,Undergrad,medium,1,2024-06-16,True,True,1.0
T0000110,2024-04-24,I003878,P001097,Main,7,DVD,STEM,2024-05-01,Undergrad,low,1,2024-04-28,True,False,0.0
T0000111,2024-05-11,I003011,P002965,Main,28,Book,HSS,2024-06-08,Undergrad,low,0,2024-06-08,True,False,0.0
T0000112,2025-09-06,I004258,P002899,Main,28,Book,STEM,2025-10-04,Undergrad,low,0,2025-10-02,True,False,0.0
T0000113,2024-04-23,I003249,P002693,Main,7,DVD,HSS,2024-04-30,Faculty,high,2,2024-05-04,True,True,4.0
T0000114,2025-08-09,I001416,P002217,Main,1,CourseReserve,STEM,2025-08-10,Undergrad,low,0,2025-08-07,True,False,0.0
T0000115,2024-01-15,I000713,P002779,Main,28,Book,Law,2024-02-12,Undergrad,low,1,2024-02-12,True,False,0.0
T0000116,2025-09-07,I004997,P002594,Main,28,Book,Arts,2025-10-05,Grad,low,1,2025-10-02,True,False,0.0
T0000117,2024-07-04,I004661,P001743,Main,28,Book,STEM,2024-08-01,Grad,medium,1,2024-07-31,True,False,0.0
T0000118,2024-05-14,I001466,P000961,Main,28,Book,STEM,2024-06-11,Undergrad,medium,1,2024-06-08,True,False,0.0
T0000119,2025-04-04,I005987,P000978,Main,28,Book,HSS,2025-05-02,Undergrad,medium,0,2025-04-29,True,False,0.0
T0000120,2025-10-09,I001925,P001207,Main,7,DVD,Arts,2025-10-16,Grad,high,0,2025-10-18,True,True,2.0
T0000121,2025-06-05,I003071,P000411,Main,28,Book,Medicine,2025-07-03,Grad,medium,0,2025-07-01,True,False,0.0
T0000122,2025-02-12,I005785,P002976,Main,28,Book,Law,2025-03-12,Grad,low,2,,False,False,0.0
T0000123,2024-06-30,I000619,P002207,Main,7,DVD,STEM,2024-07-07,Undergrad,low,0,2024-07-04,True,False,0.0
T0000124,2024-11-01,I004632,P001406,Main,28,Book,Business,2024-11-29,Undergrad,medium,0,2024-11-28,True,False,0.0
T0000125,2025-09-29,I004599,P000818,Main,28,Book,HSS,2025-10-27,Community,high,2,2025-10-29,True,True,2.0
T0000126,2025-08-21,I003411,P000232,Main,28,Book,HSS,2025-09-18,Community,medium,0,2025-09-18,True,False,0.0
T0000127,2024-06-11,I004619,P002693,Main,28,Book,HSS,2024-07-09,Faculty,high,2,2024-07-13,True,True,4.0
T0000128,2025-10-12,I002913,P002862,Main,28,Book,Medicine,2025-11-09,Grad,low,0,2025-11-07,True,False,0.0
T0000129,2024-06-30,I001310,P002958,Main,7,DVD,HSS,2024-07-07,Faculty,high,1,2024-07-10,True,True,3.0
T0000130,2025-12-20,I005262,P001961,Main,7,DVD,HSS,2025-12-27,Undergrad,medium,0,2025-12-25,True,False,0.0
T0000131,2025-07-05,I004161,P002358,Main,28,Book,STEM,2025-08-02,Undergrad,low,2,2025-07-30,True,False,0.0
T0000132,2025-05-29,I005215,P001105,Main,28,Book,Medicine,2025-06-26,Grad,medium,0,2025-06-23,True,False,0.0
T0000133,2025-03-01,I003907,P002937,Main,28,Book,Medicine,2025-03-29,Faculty,medium,2,2025-03-29,True,False,0.0
T0000134,2025-09-28,I001643,P000332,Main,28,Book,STEM,2025-10-26,Community,high,0,2025-10-25,True,False,0.0
T0000135,2025-10-16,I000153,P002310,Main,28,Book,HSS,2025-11-13,Undergrad,low,1,2025-11-11,True,False,0.0
T0000136,2024-07-17,I000246,P001383,Main,1,CourseReserve,STEM,2024-07-18,Grad,low,0,2024-07-16,True,False,0.0
T0000137,2025-08-17,I004114,P000926,Main,28,Book,STEM,2025-09-14,Undergrad,medium,0,2025-09-13,True,False,0.0
T0000138,2024-04-28,I002618,P000700,Main,28,Book,HSS,2024-05-26,Undergrad,low,0,2024-05-23,True,False,0.0
T0000139,2024-10-23,I003362,P001207,Main,28,Book,Medicine,2024-11-20,Grad,high,1,2024-11-22,True,True,2.0
T0000140,2025-11-06,I000654,P001827,Main,28,Book,HSS,2025-12-04,Undergrad,medium,0,2025-12-03,True,False,0.0
T0000141,2024-08-25,I002157,P000222,Main,28,Book,Business,2024-09-22,Undergrad,high,1,2024-09-25,True,True,3.0
T0000142,2024-11-16,I005164,P000173,Main,28,Book,Business,2024-12-14,Undergrad,medium,1,2024-12-12,True,False,0.0
T0000143,2024-11-09,I000155,P000640,Main,1,CourseReserve,HSS,2024-11-10,Faculty,medium,0,2024-11-08,True,False,0.0
T0000144,2025-02-20,I004319,P002923,Main,28,Book,Law,2025-03-20,Staff,medium,0,2025-03-19,True,False,0.0
T0000145,2025-09-13,I004907,P000859,Main,1,CourseReserve,STEM,2025-09-14,Undergrad,low,0,2025-09-13,True,False,0.0
T0000146,2025-02-03,I005506,P000659,Main,28,Book,Medicine,2025-03-03,Grad,low,0,2025-03-01,True,False,0.0
T0000147,2025-11-22,I002614,P000396,Main,28,Book,HSS,2025-12-20,Undergrad,low,1,2025-12-17,True,False,0.0
T0000148,2025-10-10,I000800,P001773,Main,1,CourseReserve,STEM,2025-10-11,Faculty,medium,0,2025-10-09,True,False,0.0
T0000149,2025-03-22,I003365,P001173,Main,1,CourseReserve,HSS,2025-03-23,Undergrad,medium,0,2025-03-23,True,False,0.0
T0000150,2024-11-16,I004706,P000519,Main,28,Book,STEM,2024-12-14,Undergrad,low,1,2024-12-11,True,False,0.0
T0000151,2024-09-07,I000505,P000222,Main,28,Book,HSS,2024-10-05,Undergrad,high,0,2024-10-06,True,True,1.0
T0000152,2025-03-21,I001658,P001887,Main,28,Book,Law,2025-04-18,Grad,high,2,2025-04-20,True,True,2.0
T0000153,2025-08-27,I000478,P002803,Main,28,Book,HSS,2025-09-24,Community,low,1,2025-09-21,True,False,0.0
T0000154,2025-01-04,I001697,P002169,Main,28,Book,STEM,2025-02-01,Undergrad,medium,0,2025-01-29,True,False,0.0
T0000155,2025-10-14,I002200,P001200,Main,28,Book,HSS,2025-11-11,Undergrad,medium,0,2025-11-11,True,False,0.0
T0000156,2024-08-13,I002857,P002844,Main,28,Book,HSS,2024-09-10,Grad,low,2,2024-09-08,True,False,0.0
T0000157,2025-09-30,I000356,P002089,Main,28,Book,Arts,2025-10-28,Undergrad,low,1,2025-10-25,True,False,0.0
T0000158,2025-04-27,I005161,P002563,Main,28,Book,HSS,2025-05-25,Undergrad,medium,1,2025-05-25,True,False,0.0
T0000159,2024-08-16,I001849,P002283,Main,3,Laptop,HSS,2024-08-19,Grad,low,1,2024-08-17,True,False,0.0
T0000160,2024-11-05,I003473,P000520,Main,28,Book,Medicine,2024-12-03,Grad,medium,0,2024-12-02,True,False,0.0
T0000161,2024-01-28,I003600,P002170,Main,28,Book,STEM,2024-02-25,Undergrad,low,1,2024-02-22,True,False,0.0
T0000162,2025-11-06,I001580,P001367,Main,28,Book,Law,2025-12-04,Undergrad,medium,1,2025-12-02,True,False,0.0
T0000163,2025-08-01,I002584,P001169,Main,28,Book,HSS,2025-08-29,Grad,low,2,2025-08-28,True,False,0.0
T0000164,2025-03-19,I001477,P001565,Main,7,DVD,Law,2025-03-26,Undergrad,high,0,2025-03-28,True,True,2.0
T0000165,2025-12-13,I004096,P001254,Main,28,Book,STEM,2026-01-10,Undergrad,low,1,2026-01-08,True,False,0.0
T0000166,2025-11-10,I001368,P002396,Main,3,Laptop,STEM,2025-11-13,Grad,high,2,2025-11-20,True,True,7.0
T0000167,2025-11-07,I003220,P000074,Main,28,Book,HSS,2025-12-05,Community,low,1,2025-12-03,True,False,0.0
T0000168,2024-08-24,I003938,P001029,Main,28,Book,Law,2024-09-21,Undergrad,low,1,2024-09-18,True,False,0.0
T0000169,2024-06-16,I004403,P001591,Main,28,Book,HSS,2024-07-14,Undergrad,low,1,2024-07-12,True,False,0.0
T0000170,2025-07-05,I005686,P000414,Main,28,Book,STEM,2025-08-02,Community,low,1,2025-07-31,True,False,0.0
T0000171,2024-09-08,I000218,P002922,Main,28,Book,STEM,2024-10-06,Staff,high,0,2024-10-10,True,True,4.0
T0000172,2024-08-03,I005231,P001701,Main,28,Book,Business,2024-08-31,Community,medium,1,2024-08-28,True,False,0.0
T0000173,2024-07-14,I003840,P001769,Main,28,Book,Business,2024-08-11,Faculty,medium,2,2024-08-08,True,False,0.0
T0000174,2024-02-19,I000672,P002955,Main,3,Laptop,Business,2024-02-22,Grad,medium,1,2024-02-22,True,False,0.0
T0000175,2025-06-15,I000149,P000744,Main,28,Book,Law,2025-07-13,Undergrad,medium,1,2025-07-11,True,False,0.0
T0000176,2024-01-06,I003794,P000806,Main,28,Book,HSS,2024-02-03,Faculty,low,2,2024-02-02,True,False,0.0
T0000177,2025-02-15,I001228,P002586,Main,28,Book,HSS,2025-03-15,Undergrad,low,1,2025-03-13,True,False,0.0
T0000178,2024-07-30,I005539,P000126,Main,28,Book,STEM,2024-08-27,Staff,low,0,2024-08-24,True,False,0.0
T0000179,2025-04-30,I005622,P001852,Main,3,Laptop,HSS,2025-05-03,Grad,low,2,2025-04-30,True,False,0.0
T0000180,2025-11-25,I003862,P000480,Main,28,Book,STEM,2025-12-23,Undergrad,low,1,2025-12-20,True,False,0.0
T0000181,2025-05-17,I005237,P001107,Main,28,Book,STEM,2025-06-14,Undergrad,low,1,2025-06-12,True,False,0.0
T0000182,2024-10-12,I005469,P002981,Main,7,DVD,HSS,2024-10-19,Undergrad,low,0,2024-10-17,True,False,0.0
T0000183,2024-05-07,I005523,P001039,Main,28,Book,HSS,2024-06-04,Grad,medium,0,2024-06-03,True,False,0.0
T0000184,2024-09-16,I000274,P001639,Main,3,Laptop,STEM,2024-09-19,Grad,low,1,2024-09-18,True,False,0.0
T0000185,2024-12-04,I001336,P001066,Main,28,Book,HSS,2025-01-01,Grad,medium,2,2025-01-01,True,False,0.0
T0000186,2025-10-14,I004882,P001490,Main,28,Book,HSS,2025-11-11,Undergrad,low,1,2025-11-09,True,False,0.0
T0000187,2025-12-16,I005568,P000219,Main,28,Book,STEM,2026-01-13,Undergrad,low,1,2026-01-10,True,False,0.0
T0000188,2025-11-14,I000829,P002771,Main,28,Book,Law,2025-12-12,Staff,medium,0,2025-12-11,True,False,0.0
T0000189,2024-12-31,I000689,P000912,Main,28,Book,STEM,2025-01-28,Community,medium,1,2025-01-26,True,False,0.0
T0000190,2024-12-12,I003024,P002472,Main,28,Book,HSS,2025-01-09,Community,low,0,2025-01-06,True,False,0.0
T0000191,2024-08-03,I003194,P002787,Main,28,Book,Business,2024-08-31,Grad,low,1,2024-08-28,True,False,0.0
T0000192,2024-10-13,I003384,P000090,Main,28,Book,STEM,2024-11-10,Grad,low,1,2024-11-07,True,False,0.0
T0000193,2025-11-07,I001619,P001692,Main,28,Book,Arts,2025-12-05,Undergrad,low,2,2025-12-03,True,False,0.0
T0000194,2025-10-01,I004596,P001403,Main,28,Book,Law,2025-10-29,Undergrad,low,1,2025-10-27,True,False,0.0
T0000195,2024-04-15,I001417,P002211,Main,28,Book,HSS,2024-05-13,Undergrad,medium,0,2024-05-12,True,False,0.0
T0000196,2024-09-26,I001976,P002464,Main,1,CourseReserve,HSS,2024-09-27,Undergrad,low,0,2024-09-24,True,False,0.0
T0000197,2025-02-27,I005965,P002234,Main,28,Book,STEM,2025-03-27,Staff,medium,2,2025-03-27,True,False,0.0
T0000198,2024-03-20,I001227,P001559,Main,28,Book,Medicine,2024-04-17,Undergrad,medium,0,2024-04-17,True,False,0.0
T0000199,2024-09-25,I000253,P001816,Main,7,DVD,STEM,2024-10-02,Undergrad,low,1,2024-09-30,True,False,0.0
T0000200,2025-03-02,I004065,P002486,Main,7,DVD,HSS,2025-03-09,Undergrad,low,1,2025-03-06,True,False,0.0
T0000201,2024-11-29,I003358,P001596,Main,28,Book,HSS,2024-12-27,Undergrad,low,1,2024-12-24,True,False,0.0
T0000202,2025-10-03,I005001,P002042,Main,28,Book,STEM,2025-10-31,Undergrad,low,1,2025-10-28,True,False,0.0
T0000203,2025-03-08,I001303,P001105,Main,28,Book,HSS,2025-04-05,Grad,medium,1,2025-04-06,True,True,1.0
T0000204,2025-05-02,I001624,P001782,Main,1,CourseReserve,Law,2025-05-03,Undergrad,low,0,2025-04-30,True,False,0.0
T0000205,2025-01-20,I003680,P002937,Main,28,Book,HSS,2025-02-17,Faculty,medium,2,2025-02-15,True,False,0.0
T0000206,2024-08-27,I000113,P000840,Main,1,CourseReserve,Arts,2024-08-28,Undergrad,medium,0,2024-08-26,True,False,0.0
T0000207,2025-03-08,I004582,P001507,Main,28,Book,Arts,2025-04-05,Grad,medium,0,2025-04-03,True,False,0.0
T0000208,2025-12-30,I004100,P001789,Main,28,Book,HSS,2026-01-27,Faculty,medium,2,2026-01-27,True,False,0.0
T0000209,2024-05-23,I000044,P000161,Main,3,Laptop,HSS,2024-05-26,Undergrad,low,1,,False,False,0.0
T0000210,2025-06-14,I000169,P002154,Main,28,Book,HSS,2025-07-12,Undergrad,medium,1,2025-07-11,True,False,0.0
T0000211,2025-06-01,I005422,P000778,Main,28,Book,HSS,2025-06-29,Staff,medium,0,2025-06-29,True,False,0.0
T0000212,2025-08-09,I001307,P002973,Main,28,Book,Medicine,2025-09-06,Undergrad,low,1,,False,False,0.0
T0000213,2024-11-20,I003467,P002107,Main,28,Book,Arts,2024-12-18,Grad,medium,1,2024-12-18,True,False,0.0
T0000214,2024-01-08,I004693,P000157,Main,28,Book,Arts,2024-02-05,Undergrad,low,0,2024-02-03,True,False,0.0
T0000215,2025-10-29,I005838,P002300,Main,28,Book,Business,2025-11-26,Grad,medium,2,2025-11-26,True,False,0.0
T0000216,2024-07-20,I005970,P001830,Main,7,DVD,Business,2024-07-27,Undergrad,low,0,2024-07-24,True,False,0.0
