item_id,collection,subject,loan_policy_days,home_location
I000151,Laptop,STEM,3,Main
I000152,Book,STEM,28,Main
I000153,Book,HSS,28,Main
I000154,Book,HSS,28,Main
I000155,CourseReserve,HSS,1,Main
I000156,Book,HSS,28,Main
I000157,Book,Business,28,Main
I000158,Book,Business,28,Main
I000159,Book,HSS,28,Main
I000160,Book,Medicine,28,Main
I000161,Book,HSS,28,Main
I000162,Book,HSS,28,Main
I000163,Book,HSS,28,Main
I000164,Book,STEM,28,Main
I000165,Book,HSS,28,Main
I000166,DVD,STEM,7,Main
I000167,Book,STEM,28,Main
I000168,Book,Arts,28,Main
I000169,Book,HSS,28,Main
I000170,Book,HSS,28,Main
I000171,Book,HSS,28,Main
I000172,Book,Law,28,Main
I000173,Book,HSS,28,Main
I000174,Book,Medicine,28,Main
I000175,Book,STEM,28,Main
I000176,Book,STEM,28,Main
I000177,Book,STEM,28,Main
I000178,Book,HSS,28,Main
I000179,CourseReserve,HSS,1,Main
I000180,Book,HSS,28,Main
I000181,Book,STEM,28,Main
I000182,Book,HSS,28,Main
I000183,CourseReserve,HSS,1,Main
I000184,DVD,Arts,7,Main
I000185,Book,HSS,28,Main
I000186,Book,Business,28,Main
I000187,DVD,Business,7,Main
I000188,Book,HSS,28,Main
I000189,Book,HSS,28,Main
I000190,Book,HSS,28,Main
I000191,Book,Law,28,Main
I000192,Laptop,Law,3,Main
I000193,Laptop,Business,3,Main
I000194,Book,Arts,28,Main
I000195,Book,Law,28,Main
I000196,Book,HSS,28,Main
I000197,Book,HSS,28,Main
I000198,Laptop,Medicine,3,Main
I000199,Laptop,HSS,3,Main
I000200,Book,HSS,28,Main
I000201,Book,Law,28,Main
I000202,Book,STEM,28,Main
I000203,Book,Arts,28,Main
I000204,Laptop,Law,3,Main
I000205,Book,HSS,28,Main
I000206,Book,Arts,28,Main
I000207,Book,HSS,28,Main
I000208,Book,STEM,28,Main
I000209,Book,STEM,28,Main
I000210,Book,HSS,28,Main
I000211,Book,STEM,28,Main
I000212,Book,HSS,28,Main
I000213,Book,STEM,28,Main
I000214,Book,STEM,28,Main
I000215,Book,Business,28,Main
I000216,Book,Business,28,Main
I000217,Book,HSS,28,Main
I000218,Book,STEM,28,Main
I000219,Book,STEM,28,Main
I000220,DVD,HSS,7,Main
I000221,Book,Business,28,Main
I000222,Book,Law,28,Main
I000223,Book,HSS,28,Main
I000224,Book,STEM,28,Main
I000225,Book,HSS,28,Main
I000226,Book,Law,28,Main
I000227,CourseReserve,HSS,1,Main
I000228,Book,Arts,28,Main
I000229,Laptop,Business,3,Main
I000230,Book,STEM,28,Main
I000231,DVD,STEM,7,Main
I000232,Book,Arts,28,Main
I000233,Book,STEM,28,Main
I000234,Book,HSS,28,Main
I000235,Book,STEM,28,Main
I000236,Book,Medicine,28,Main
I000237,Book,Law,28,Main
I000238,Book,Law,28,Main
I000239,Book,Medicine,28,Main
I000240,Book,Medicine,28,Main
I000241,CourseReserve,Arts,1,Main
I000242,CourseReserve,HSS,1,Main
I000243,Laptop,STEM,3,Main
I000244,Book,Business,28,Main
I000245,Book,Business,28,Main
I000246,CourseReserve,STEM,1,Main
I000247,Book,HSS,28,Main
I000248,CourseReserve,Business,1,Main
I000249,CourseReserve,Business,1,Main
I000250,DVD,HSS,7,Main
I000251,Book,STEM,28,Main
I000252,Book,HSS,28,Main
I000253,DVD,STEM,7,Main
I000254,Book,HSS,28,Main
I000255,Book,STEM,28,Main
I000256,Book,STEM,28,Main
I000257,CourseReserve,Law,1,Main
I000258,Book,Law,28,Main
I000259,Book,Medicine,28,Main
I000260,Book,HSS,28,Main
I000261,Book,HSS,28,Main
I000262,CourseReserve,Medicine,1,Main
I000263,Book,HSS,28,Main
I000264,Book,Arts,28,Main
I000265,DVD,Medicine,7,Main
I000266,Book,STEM,28,Main
I000267,Book,Arts,28,Main
I000268,Book,HSS,28,Main
I000269,Book,HSS,28,Main
I000270,Book,Law,28,Main
I000271,DVD,STEM,7,Main
I000272,DVD,Arts,7,Main
I000273,DVD,HSS,7,Main
I000274,Laptop,STEM,3,Main
I000275,Book,STEM,28,Main
I000276,Book,Law,28,Main
I000277,DVD,HSS,7,Main
I000278,Book,STEM,28,Main
I000279,Book,Medicine,28,Main
I000280,DVD,HSS,7,Main
I000281,Laptop,Business,3,Main
I000282,Book,STEM,28,Main
I000283,Book,Business,28,Main
I000284,Book,Business,28,Main
I000285,Book,HSS,28,Main
I000286,Book,STEM,28,Main
I000287,Book,Medicine,28,Main
I000288,Book,STEM,28,Main
I000289,Book,Arts,28,Main
I000290,Book,STEM,28,Main
I000291,Book,HSS,28,Main
I000292,Book,STEM,28,Main
I000293,DVD,Arts,7,Main
I000294,Book,HSS,28,Main
I000295,Book,Medicine,28,Main
I000296,Book,Medicine,28,Main
I000297,Book,STEM,28,Main
I000298,Book,HSS,28,Main
I000299,Book,Business,28,Main
I000300,Book,HSS,28,Main
I000301,Book,Business,28,Main
I000302,Book,STEM,28,Main
I000303,Book,STEM,28,Main
I000304,Book,Business,28,Main
I000305,Book,STEM,28,Main
I000306,CourseReserve,STEM,1,Main
I000307,Book,STEM,28,Main
I000308,Book,STEM,28,Main
I000309,DVD,STEM,7,Main
I000310,Book,Business,28,Main
I000311,Book,STEM,28,Main
I000312,Book,STEM,28,Main
I000313,Book,Law,28,Main
I000314,CourseReserve,HSS,1,Main
I000315,DVD,HSS,7,Main
I000316,Book,Arts,28,Main
I000317,Book,Business,28,Main
I000318,Book,STEM,28,Main
I000319,Book,Law,28,Main
I000320,Book,HSS,28,Main
I000321,Book,Law,28,Main
I000322,Book,STEM,28,Main
I000323,Book,STEM,28,Main
I000324,Book,STEM,28,Main
I000325,CourseReserve,HSS,1,Main
I000326,Book,HSS,28,Main
I000327,Book,Arts,28,Main
I000328,Book,STEM,28,Main
I000329,Book,STEM,28,Main
I000330,Book,HSS,28,Main
I000331,Book,HSS,28,Main
I000332,Book,Business,28,Main
I000333,Book,STEM,28,Main
I000334,Book,STEM,28,Main
I000335,Book,HSS,28,Main
I000336,Book,Business,28,Main
I000337,DVD,HSS,7,Main
I000338,Book,HSS,28,Main
I000339,Book,STEM,28,Main
I000340,Book,HSS,28,Main
I000341,Book,HSS,28,Main
I000342,Book,Law,28,Main
I000343,Book,Law,28,Main
I000344,Book,Business,28,Main
I000345,Book,STEM,28,Main
I000346,Book,HSS,28,Main
I000347,Book,HSS,28,Main
I000348,Book,Arts,28,Main
I000349,Book,STEM,28,Main
I000350,Book,Law,28,Main
I000351,Book,HSS,28,Main
I000352,DVD,STEM,7,Main
I000353,Book,HSS,28,Main
I000354,Book,STEM,28,Main
I000355,Book,Arts,28,Main
I000356,Book,Arts,28,Main
I000357,Book,STEM,28,Main
I000358,Book,STEM,28,Main
I000359,CourseReserve,Arts,1,Main
I000360,Book,Law,28,Main
I000361,Book,HSS,28,Main
I000362,Book,STEM,28,Main
I000363,Book,HSS,28,Main
I000364,Book,STEM,28,Main
I000365,CourseReserve,STEM,1,Main
I000366,Book,STEM,28,Main
I000367,CourseReserve,STEM,1,Main
I000368,Laptop,HSS,3,Main
I000369,Book,STEM,28,Main
I000370,Book,Medicine,28,Main
I000371,Book,Law,28,Main
I000372,Book,STEM,28,Main
I000373,Book,Arts,28,Main
I000374,Book,Arts,28,Main
I000375,Book,HSS,28,Main
I000376,Book,HSS,28,Main
I000377,DVD,Business,7,Main
I000378,Book,Business,28,Main
I000379,DVD,Arts,7,Main
I000380,Book,Medicine,28,Main
I000381,Book,STEM,28,Main
I000382,Book,STEM,28,Main
I000383,Book,HSS,28,Main
I000384,DVD,HSS,7,Main
I000385,Book,STEM,28,Main
I000386,DVD,Law,7,Main
I000387,Book,STEM,28,Main
I000388,Book,Business,28,Main
I000389,Book,HSS,28,Main
I000390,DVD,STEM,7,Main
I000391,CourseReserve,HSS,1,Main
I000392,Book,STEM,28,Main
I000393,Book,Business,28,Main
I000394,Book,Law,28,Main
I000395,Book,Arts,28,Main
I000396,CourseReserve,HSS,1,Main
I000397,DVD,STEM,7,Main
I000398,Book,HSS,28,Main
I000399,Book,STEM,28,Main
I000400,Book,Medicine,28,Main
I000401,Book,Law,28,Main
I000402,Laptop,Medicine,3,Main
I000403,Book,HSS,28,Main
I000404,DVD,Medicine,7,Main
I000405,Book,HSS,28,Main
I000406,Laptop,Medicine,3,Main
I000407,Book,HSS,28,Main
I000408,Book,HSS,28,Main
I000409,Laptop,STEM,3,Main
I000410,Book,Arts,28,Main
I000411,Book,HSS,28,Main
I000412,CourseReserve,STEM,1,Main
I000413,CourseReserve,Medicine,1,Main
I000414,Book,STEM,28,Main
I000415,Book,HSS,28,Main
I000416,Book,STEM,28,Main
I000417,Book,STEM,28,Main
I000418,Book,Arts,28,Main
I000419,Book,Business,28,Main
I000420,Book,STEM,28,Main
I000421,DVD,Arts,7,Main
I000422,DVD,STEM,7,Main
I000423,Book,HSS,28,Main
I000424,Book,HSS,28,Main
I000425,Book,STEM,28,Main
I000426,Book,HSS,28,Main
I000427,Book,Arts,28,Main
I000428,Laptop,Business,3,Main
I000429,Book,HSS,28,Main
I000430,Book,STEM,28,Main
I000431,Book,Business,28,Main
I000432,Book,Arts,28,Main
I000433,Book,Medicine,28,Main
I000434,Book,STEM,28,Main
I000435,Book,Business,28,Main
I000436,Book,STEM,28,Main
I000437,Book,STEM,28,Main
I000438,DVD,HSS,7,Main
I000439,Book,HSS,28,Main
I000440,Book,STEM,28,Main
I000441,Book,HSS,28,Main
I000442,CourseReserve,HSS,1,Main
I000443,Book,Business,28,Main
I000444,Book,HSS,28,Main
I000445,DVD,STEM,7,Main
I000446,CourseReserve,STEM,1,Main
I000447,CourseReserve,Arts,1,Main
I000448,Book,STEM,28,Main
I000449,Book,HSS,28,Main
I000450,Book,STEM,28,Main
I000451,Book,Medicine,28,Main
I000452,Book,Arts,28,Main
I000453,Book,STEM,28,Main
I000454,Laptop,HSS,3,Main
I000455,Book,Medicine,28,Main
I000456,Book,HSS,28,Main
I000457,Book,Law,28,Main
I000458,Book,STEM,28,Main
I000459,Book,HSS,28,Main
I000460,Book,STEM,28,Main
I000461,Book,HSS,28,Main
I000462,Book,Law,28,Main
I000463,Book,Arts,28,Main
I000464,Book,HSS,28,Main
I000465,CourseReserve,Business,1,Main
I000466,Book,HSS,28,Main
I000467,Book,STEM,28,Main
I000468,DVD,HSS,7,Main
I000469,Book,Arts,28,Main
I000470,CourseReserve,Business,1,Main
I000471,Book,Law,28,Main
I000472,CourseReserve,Business,1,Main
I000473,Book,Law,28,Main
I000474,Laptop,Arts,3,Main
I000475,Book,Business,28,Main
I000476,CourseReserve,Arts,1,Main
I000477,Book,STEM,28,Main
I000478,Book,HSS,28,Main
I000479,CourseReserve,STEM,1,Main
I000480,Book,HSS,28,Main
I000481,Book,STEM,28,Main
I000482,Book,STEM,28,Main
I000483,Book,Law,28,Main
I000484,Book,HSS,28,Main
I000485,Book,HSS,28,Main
I000486,Laptop,STEM,3,Main
I000487,Book,Arts,28,Main
I000488,Book,STEM,28,Main
I000489,CourseReserve,STEM,1,Main
I000490,Laptop,Business,3,Main
I000491,Book,STEM,28,Main
I000492,Book,HSS,28,Main
I000493,Book,STEM,28,Main
I000494,Book,HSS,28,Main
I000495,Book,Arts,28,Main
I000496,Book,HSS,28,Main
I000497,Book,STEM,28,Main
I000498,Book,HSS,28,Main
I000499,CourseReserve,HSS,1,Main
I000500,CourseReserve,Business,1,Main
I000501,Book,HSS,28,Main
I000502,Book,HSS,28,Main
I000503,Book,STEM,28,Main
I000504,DVD,HSS,7,Main
I000505,Book,HSS,28,Main
I000506,Book,Business,28,Main
I000507,Laptop,Business,3,Main
I000508,DVD,Arts,7,Main
I000509,CourseReserve,Medicine,1,Main
I000510,Book,Law,28,Main
I000511,Book,HSS,28,Main
I000512,Book,Business,28,Main
I000513,CourseReserve,Medicine,1,Main
I000514,DVD,Business,7,Main
I000515,Book,STEM,28,Main
I000516,Book,HSS,28,Main
I000517,Book,Medicine,28,Main
I000518,DVD,Business,7,Main
I000519,CourseReserve,Arts,1,Main
I000520,Book,HSS,28,Main
I000521,Book,HSS,28,Main
I000522,Book,HSS,28,Main
I000523,CourseReserve,Business,1,Main
I000524,DVD,HSS,7,Main
I000525,DVD,HSS,7,Main
I000526,Book,Arts,28,Main
I000527,Book,HSS,28,Main
I000528,Book,Medicine,28,Main
I000529,Book,STEM,28,Main
I000530,DVD,Medicine,7,Main
I000531,DVD,STEM,7,Main
I000532,CourseReserve,Medicine,1,Main
I000533,CourseReserve,Arts,1,Main
I000534,Book,HSS,28,Main
I000535,Book,HSS,28,Main
I000536,CourseReserve,HSS,1,Main
I000537,DVD,Law,7,Main
I000538,Book,Medicine,28,Main
I000539,Book,STEM,28,Main
I000540,Book,STEM,28,Main
I000541,CourseReserve,HSS,1,Main
I000542,Book,Business,28,Main
I000543,Book,Arts,28,Main
I000544,Book,HSS,28,Main
I000545,Book,STEM,28,Main
I000546,Book,HSS,28,Main
I000547,Book,STEM,28,Main
I000548,Book,STEM,28,Main
I000549,Book,HSS,28,Main
I000550,Book,STEM,28,Main
I000551,Book,STEM,28,Main
I000552,DVD,STEM,7,Main
I000553,Book,STEM,28,Main
I000554,Book,HSS,28,Main
I000555,DVD,Business,7,Main
I000556,Book,Business,28,Main
I000557,Book,STEM,28,Main
I000558,Book,HSS,28,Main
I000559,Book,Business,28,Main
I000560,Book,Arts,28,Main
I000561,Book,HSS,28,Main
I000562,Book,HSS,28,Main
I000563,Book,HSS,28,Main
I000564,Book,STEM,28,Main
I000565,Book,HSS,28,Main
I000566,Book,STEM,28,Main
I000567,Book,Law,28,Main
I000568,Book,STEM,28,Main
I000569,Laptop,STEM,3,Main
I000570,Book,STEM,28,Main
I000571,Book,STEM,28,Main
I000572,DVD,HSS,7,Main
I000573,Book,HSS,28,Main
I000574,Book,Medicine,28,Main
I000575,DVD,HSS,7,Main
I000576,CourseReserve,Law,1,Main
I000577,Book,Arts,28,Main
I000578,CourseReserve,HSS,1,Main
I000579,Book,STEM,28,Main
I000580,Book,STEM,28,Main
I000581,Book,Medicine,28,Main
I000582,CourseReserve,Arts,1,Main
I000583,Book,Business,28,Main
I000584,Book,HSS,28,Main
I000585,Book,Law,28,Main
I000586,Book,STEM,28,Main
I000587,Book,STEM,28,Main
I000588,Book,HSS,28,Main
I000589,Book,HSS,28,Main
I000590,Book,Business,28,Main
I000591,Book,STEM,28,Main
I000592,Book,HSS,28,Main
I000593,Book,STEM,28,Main
I000594,Book,Medicine,28,Main
I000595,Laptop,Business,3,Main
I000596,Book,HSS,28,Main
I000597,Book,HSS,28,Main
I000598,Book,HSS,28,Main
I000599,Book,Arts,28,Main
I000600,Book,STEM,28,Main
I000601,Book,STEM,28,Main
I000602,Book,STEM,28,Main
I000603,Book,STEM,28,Main
I000604,Book,Business,28,Main
I000605,Book,STEM,28,Main
I000606,Book,HSS,28,Main
I000607,Book,HSS,28,Main
I000608,Book,STEM,28,Main
I000609,Book,Arts,28,Main
I000610,Book,HSS,28,Main
I000611,Book,Medicine,28,Main
I000612,DVD,Business,7,Main
I000613,Book,HSS,28,Main
I000614,Book,HSS,28,Main
I000615,DVD,HSS,7,Main
I000616,CourseReserve,Business,1,Main
I000617,Book,HSS,28,Main
I000618,Book,STEM,28,Main
I000619,DVD,STEM,7,Main
I000620,Book,Business,28,Main
I000621,Book,HSS,28,Main
I000622,Book,STEM,28,Main
I000623,Book,STEM,28,Main
I000624,Book,STEM,28,Main
I000625,Book,Business,28,Main
I000626,Book,HSS,28,Main
I000627,Book,Business,28,Main
I000628,Book,Law,28,Main
I000629,Book,STEM,28,Main
I000630,Book,Law,28,Main
I000631,Book,STEM,28,Main
I000632,Laptop,HSS,3,Main
I000633,Book,Law,28,Main
I000634,Book,STEM,28,Main
I000635,Book,Law,28,Main
I000636,Book,STEM,28,Main
I000637,Book,Medicine,28,Main
I000638,Book,STEM,28,Main
I000639,Book,HSS,28,Main
I000640,Book,STEM,28,Main
I000641,Book,Business,28,Main
I000642,Book,Business,28,Main
I000643,Book,STEM,28,Main
I000644,Book,Medicine,28,Main
I000645,Book,HSS,28,Main
I000646,Laptop,STEM,3,Main
I000647,Book,Medicine,28,Main
I000648,Book,Medicine,28,Main
I000649,DVD,Law,7,Main
I000650,Book,Medicine,28,Main
I000651,Book,HSS,28,Main
I000652,Book,Medicine,28,Main
I000653,Book,HSS,28,Main
I000654,Book,HSS,28,Main
I000655,Book,HSS,28,Main
I000656,Book,STEM,28,Main
I000657,Book,HSS,28,Main
I000658,Book,HSS,28,Main
I000659,Book,HSS,28,Main
I000660,Book,HSS,28,Main
I000661,Book,STEM,28,Main
I000662,CourseReserve,STEM,1,Main
I000663,Book,STEM,28,Main
I000664,Book,Business,28,Main
I000665,Book,Medicine,28,Main
I000666,Book,Business,28,Main
I000667,Book,STEM,28,Main
I000668,Book,Business,28,Main
I000669,Book,HSS,28,Main
I000670,Book,HSS,28,Main
I000671,Book,STEM,28,Main
I000672,Laptop,Business,3,Main
I000673,Book,HSS,28,Main
I000674,Book,HSS,28,Main
I000675,Book,HSS,28,Main
I000676,CourseReserve,Medicine,1,Main
I000677,Book,Law,28,Main
I000678,Book,HSS,28,Main
I000679,CourseReserve,STEM,1,Main
I000680,DVD,STEM,7,Main
I000681,DVD,Law,7,Main
I000682,Book,HSS,28,Main
I000683,Book,Medicine,28,Main
I000684,Book,HSS,28,Main
I000685,CourseReserve,Law,1,Main
I000686,Book,HSS,28,Main
I000687,Book,STEM,28,Main
I000688,Book,STEM,28,Main
I000689,Book,STEM,28,Main
I000690,Book,HSS,28,Main
I000691,Book,Business,28,Main
I000692,Book,HSS,28,Main
I000693,Book,Law,28,Main
I000694,Book,Business,28,Main
I000695,Book,STEM,28,Main
I000696,Book,Business,28,Main
I000697,Book,Law,28,Main
I000698,Book,STEM,28,Main
I000699,Book,Business,28,Main
I000700,Book,HSS,28,Main
I000701,Book,STEM,28,Main
I000702,Book,Business,28,Main
I000703,Book,STEM,28,Main
I000704,Book,HSS,28,Main
I000705,Book,STEM,28,Main
I000706,CourseReserve,Business,1,Main
I000707,Book,Arts,28,Main
I000708,DVD,STEM,7,Main
I000709,Book,Law,28,Main
I000710,Book,Medicine,28,Main
I000711,Book,HSS,28,Main
I000712,Book,HSS,28,Main
I000713,Book,Law,28,Main
I000714,Book,Business,28,Main
I000715,Book,Medicine,28,Main
I000716,CourseReserve,STEM,1,Main
I000717,DVD,HSS,7,Main
I000718,CourseReserve,STEM,1,Main
I000719,Book,HSS,28,Main
I000720,Book,HSS,28,Main
I000721,CourseReserve,Business,1,Main
I000722,Book,HSS,28,Main
I000723,Book,Business,28,Main
I000724,Book,STEM,28,Main
I000725,Book,STEM,28,Main
I000726,DVD,HSS,7,Main
I000727,Book,STEM,28,Main
I000728,DVD,HSS,7,Main
I000729,Book,Arts,28,Main
I000730,Book,Business,28,Main
I000731,Book,STEM,28,Main
I000732,DVD,HSS,7,Main
I000733,Book,Arts,28,Main
I000734,Book,STEM,28,Main
I000735,Book,HSS,28,Main
I000736,DVD,STEM,7,Main
I000737,Book,Arts,28,Main
I000738,DVD,HSS,7,Main
I000739,Book,HSS,28,Main
I000740,Book,Arts,28,Main
I000741,Book,HSS,28,Main
I000742,Book,HSS,28,Main
I000743,Book,STEM,28,Main
I000744,Book,Medicine,28,Main
I000745,Book,STEM,28,Main
I000746,Laptop,Arts,3,Main
I000747,Book,Law,28,Main
I000748,Book,HSS,28,Main
I000749,Laptop,Arts,3,Main
I000750,Book,STEM,28,Main
I000751,Book,HSS,28,Main
I000752,CourseReserve,STEM,1,Main
I000753,Book,HSS,28,Main
I000754,Book,HSS,28,Main
I000755,Book,HSS,28,Main
I000756,DVD,STEM,7,Main
I000757,Book,Medicine,28,Main
I000758,Book,STEM,28,Main
I000759,Laptop,Arts,3,Main
I000760,DVD,HSS,7,Main
I000761,Book,HSS,28,Main
I000762,Book,HSS,28,Main
I000763,Book,HSS,28,Main
I000764,Book,HSS,28,Main
I000765,Book,Business,28,Main
I000766,Book,Medicine,28,Main
I000767,Book,Arts,28,Main
I000768,DVD,HSS,7,Main
I000769,Book,Medicine,28,Main
I000770,DVD,HSS,7,Main
I000771,Book,HSS,28,Main
I000772,DVD,Medicine,7,Main
I000773,Book,Law,28,Main
I000774,Book,HSS,28,Main
I000775,DVD,STEM,7,Main
I000776,Book,HSS,28,Main
I000777,Book,Business,28,Main
I000778,Book,STEM,28,Main
I000779,Book,Arts,28,Main
I000780,Book,HSS,28,Main
I000781,Book,STEM,28,Main
I000782,Book,STEM,28,Main
I000783,Book,STEM,28,Main
I000784,Book,HSS,28,Main
I000785,Book,Business,28,Main
I000786,Laptop,Medicine,3,Main
I000787,Book,Arts,28,Main
I000788,Book,Business,28,Main
I000789,Book,Medicine,28,Main
I000790,CourseReserve,STEM,1,Main
I000791,Book,Business,28,Main
I000792,Book,HSS,28,Main
I000793,Book,STEM,28,Main
I000794,Book,HSS,28,Main
I000795,Book,STEM,28,Main
I000796,DVD,HSS,7,Main
I000797,CourseReserve,Arts,1,Main
I000798,Book,HSS,28,Main
I000799,Book,HSS,28,Main
I000800,CourseReserve,STEM,1,Main
I000801,Book,HSS,28,Main
I000802,Book,HSS,28,Main
I000803,Book,HSS,28,Main
I000804,Book,STEM,28,Main
I000805,Book,STEM,28,Main
I000806,Book,Business,28,Main
I000807,CourseReserve,Business,1,Main
I000808,CourseReserve,STEM,1,Main
I000809,Book,STEM,28,Main
I000810,Book,HSS,28,Main
I000811,CourseReserve,Business,1,Main
I000812,DVD,HSS,7,Main
I000813,Book,HSS,28,Main
I000814,CourseReserve,Business,1,Main
I000815,DVD,STEM,7,Main
I000816,Book,HSS,28,Main
I000817,Book,HSS,28,Main
I000818,Book,Arts,28,Main
I000819,Book,Medicine,28,Main
I000820,Book,Law,28,Main
I000821,DVD,STEM,7,Main
I000822,Book,STEM,28,Main
I000823,Book,Arts,28,Main
I000824,Book,Arts,28,Main
I000825,Book,HSS,28,Main
I000826,Laptop,Business,3,Main
I000827,Book,HSS,28,Main
I000828,Book,HSS,28,Main
I000829,Book,Law,28,Main
I000830,Book,STEM,28,Main
I000831,Book,Arts,28,Main
I000832,Book,HSS,28,Main
I000833,Book,STEM,28,Main
I000834,Book,Arts,28,Main
I000835,Book,Medicine,28,Main
I000836,Book,HSS,28,Main
I000837,Laptop,STEM,3,Main
I000838,Book,Law,28,Main
I000839,Book,HSS,28,Main
I000840,Book,Arts,28,Main
I000841,Book,Arts,28,Main
I000842,Book,HSS,28,Main
I000843,Book,HSS,28,Main
I000844,CourseReserve,HSS,1,Main
I000845,Book,Medicine,28,Main
I000846,Book,HSS,28,Main
I000847,Book,STEM,28,Main
I000848,CourseReserve,STEM,1,Main
I000849,Book,STEM,28,Main
I000850,Book,HSS,28,Main
