hold_id,request_dt,item_id,patron_id,pickup_location,collection,status,wait_days,fulfill_dt
H0000062,2025-06-17,I004202,P002417,Main,Book,expired,3.6,
H0000063,2024-04-28,I000582,P002794,Main,CourseReserve,fulfilled,4.4,2024-05-02 09:36:00
H0000065,2025-06-08,I005965,P002979,Main,Book,fulfilled,7.4,2025-06-15 09:36:00
H0000066,2024-10-22,I002814,P000675,Main,Book,expired,4.1,
H0000067,2025-10-29,I000895,P001615,Main,Book,pending,5.4,
H0000069,2025-06-04,I003738,P002336,Main,Book,cancelled,1.8,
H0000071,2025-12-21,I002949,P001976,Main,Book,cancelled,4.1,
H0000072,2024-03-23,I003796,P002899,Main,Book,fulfilled,5.8,2024-03-28 19:12:00
H0000074,2024-02-20,I005677,P000263,Main,Book,fulfilled,6.2,2024-02-26 04:48:00
H0000076,2024-01-15,I004237,P001001,Main,Book,fulfilled,6.3,2024-01-21 07:12:00
H0000078,2024-03-17,I001674,P002212,Main,DVD,pending,6.8,
H0000080,2024-09-10,I003121,P002631,Main,Book,fulfilled,4.4,2024-09-14 09:36:00
H0000082,2024-09-01,I002861,P001159,Main,DVD,fulfilled,4.5,2024-09-05 12:00:00
H0000083,2025-12-23,I000134,P000749,Main,Book,fulfilled,13.3,2026-01-05 07:12:00
H0000085,2024-01-18,I003387,P000305,Main,Book,fulfilled,5.1,2024-01-23 02:24:00
H0000087,2024-03-03,I002386,P000630,Main,Book,fulfilled,5.7,2024-03-08 16:48:00
H0000088,2025-10-02,I001197,P000791,Main,CourseReserve,fulfilled,6.0,2025-10-08 00:00:00
H0000089,2025-12-12,I001580,P000171,Main,Book,fulfilled,6.1,2025-12-18 02:24:00
H0000090,2024-04-28,I004379,P002039,Main,Book,fulfilled,6.2,2024-05-04 04:48:00
H0000091,2025-09-04,I001158,P000701,Main,Laptop,fulfilled,6.2,2025-09-10 04:48:00
H0000093,2025-04-26,I000145,P000248,Main,Book,fulfilled,4.1,2025-04-30 02:24:00
H0000096,2024-11-04,I003464,P002959,Main,Book,fulfilled,8.1,2024-11-12 02:24:00
H0000097,2024-02-09,I004140,P001159,Main,Book,pending,5.6,
H0000098,2024-09-21,I005462,P001918,Main,Book,fulfilled,3.1,2024-09-24 02:24:00
H0000099,2025-08-22,I000504,P000452,Main,DVD,fulfilled,3.3,2025-08-25 07:12:00
H0000101,2025-08-04,I001667,P002889,Main,Book,fulfilled,6.7,2025-08-10 16:48:00
H0000104,2025-06-27,I002639,P002409,Main,CourseReserve,fulfilled,4.4,2025-07-01 09:36:00
H0000106,2025-09-20,I004006,P002739,Main,Book,fulfilled,4.4,2025-09-24 09:36:00
H0000107,2024-02-05,I000504,P001579,Main,DVD,cancelled,5.2,
H0000109,2024-03-15,I004863,P002534,Main,Book,fulfilled,3.6,2024-03-18 14:24:00
H0000110,2025-07-14,I001320,P001481,Main,Book,pending,3.5,
H0000112,2025-11-08,I005929,P002458,Main,Book,fulfilled,2.2,2025-11-10 04:48:00
H0000113,2025-11-01,I002368,P001243,Main,Book,fulfilled,3.2,2025-11-04 04:48:00
H0000117,2024-04-06,I003219,P002202,Main,Book,expired,17.7,
H0000118,2024-12-13,I000060,P000633,Main,Book,fulfilled,7.3,2024-12-20 07:12:00
H0000119,2025-11-04,I001656,P002149,Main,CourseReserve,fulfilled,4.0,2025-11-08 00:00:00
H0000121,2025-05-16,I000863,P000664,Main,Book,fulfilled,5.3,2025-05-21 07:12:00
H0000123,2024-04-19,I001961,P001870,Main,Book,fulfilled,9.8,2024-04-28 19:12:00
H0000124,2024-04-21,I002324,P001409,Main,Book,cancelled,4.2,
H0000125,2025-11-22,I002132,P000755,Main,Book,fulfilled,7.7,2025-11-29 16:48:00
H0000126,2025-03-22,I000925,P002755,Main,Book,fulfilled,5.9,2025-03-27 21:36:00
H0000129,2024-10-25,I003888,P001259,Main,Book,fulfilled,3.8,2024-10-28 19:12:00
H0000134,2025-08-16,I002099,P002449,Main,DVD,fulfilled,6.5,2025-08-22 12:00:00
H0000136,2025-01-24,I000114,P001970,Main,DVD,fulfilled,9.0,2025-02-02 00:00:00
H0000138,2025-04-21,I002726,P001189,Main,Book,fulfilled,5.9,2025-04-26 21:36:00
H0000139,2025-05-08,I005974,P002512,Main,DVD,fulfilled,3.9,2025-05-11 21:36:00
H0000141,2024-04-02,I005625,P000913,Main,Book,fulfilled,4.9,2024-04-06 21:36:00
H0000142,2025-05-28,I001706,P000045,Main,Book,fulfilled,2.8,2025-05-30 19:12:00
H0000143,2025-04-24,I002100,P000361,Main,Book,cancelled,4.9,
H0000145,2024-10-16,I001490,P000140,Main,Book,expired,6.1,
H0000154,2025-03-02,I001722,P001975,Main,Book,fulfilled,6.0,2025-03-08 00:00:00
H0000155,2025-05-28,I003658,P001067,Main,Book,fulfilled,4.0,2025-06-01 00:00:00
H0000157,2024-11-23,I002955,P001394,Main,CourseReserve,expired,3.7,
H0000160,2025-09-19,I000746,P000541,Main,Laptop,fulfilled,5.4,2025-09-24 09:36:00
H0000161,2024-06-30,I003432,P000512,Main,CourseReserve,fulfilled,1.6,2024-07-01 14:24:00
H0000162,2024-10-12,I003486,P001153,Main,Book,fulfilled,5.3,2024-10-17 07:12:00
H0000164,2025-11-21,I004288,P001755,Main,Book,fulfilled,4.5,2025-11-25 12:00:00
H0000166,2024-02-04,I005199,P002362,Main,Book,fulfilled,8.1,2024-02-12 02:24:00
H0000167,2025-05-17,I004317,P001378,Main,Book,fulfilled,8.6,2025-05-25 14:24:00
H0000168,2025-06-30,I004883,P001967,Main,DVD,fulfilled,6.6,2025-07-06 14:24:00
H0000171,2024-06-02,I002861,P001612,Main,DVD,fulfilled,2.3,2024-06-04 07:12:00
H0000173,2025-01-22,I001746,P001221,Main,Book,fulfilled,4.0,2025-01-26 00:00:00
H0000174,2024-05-07,I005230,P001531,Main,Book,fulfilled,6.6,2024-05-13 14:24:00
H0000177,2025-11-15,I001443,P001102,Main,Book,fulfilled,3.7,2025-11-18 16:48:00
H0000183,2024-08-07,I002518,P001265,Main,Book,pending,6.9,
H0000184,2025-09-27,I001706,P002062,Main,Book,fulfilled,5.0,2025-10-02 00:00:00
H0000188,2024-01-16,I001650,P002951,Main,Book,fulfilled,9.1,2024-01-25 02:24:00
H0000189,2024-03-18,I002881,P001847,Main,Book,fulfilled,5.4,2024-03-23 09:36:00
H0000191,2025-10-04,I002587,P000356,Main,Book,fulfilled,5.2,2025-10-09 04:48:00
H0000192,2024-02-20,I004428,P001865,Main,Book,pending,3.1,
H0000193,2024-08-19,I005525,P001872,Main,Book,fulfilled,7.7,2024-08-26 16:48:00
H0000195,2024-03-17,I004452,P001037,Main,Book,fulfilled,4.3,2024-03-21 07:12:00
H0000196,2024-05-26,I002207,P000369,Main,Book,fulfilled,4.8,2024-05-30 19:12:00
H0000197,2024-06-25,I003269,P001590,Main,Book,fulfilled,2.1,2024-06-27 02:24:00
H0000199,2025-08-19,I005465,P001016,Main,Book,fulfilled,4.8,2025-08-23 19:12:00
H0000200,2025-05-13,I000075,P001807,Main,Book,fulfilled,6.7,2025-05-19 16:48:00
H0000201,2025-11-06,I002773,P001766,Main,DVD,fulfilled,6.7,2025-11-12 16:48:00
H0000202,2024-07-29,I005186,P000187,Main,CourseReserve,cancelled,4.4,
H0000206,2024-10-26,I000129,P000761,Main,Book,pending,6.5,
H0000207,2024-05-13,I000298,P000415,Main,Book,fulfilled,5.4,2024-05-18 09:36:00
H0000210,2025-10-28,I000942,P001907,Main,Book,cancelled,7.2,
H0000216,2024-10-26,I000950,P001710,Main,Book,fulfilled,5.3,2024-10-31 07:12:00
H0000217,2024-12-30,I000526,P000009,Main,Book,fulfilled,7.9,2025-01-06 21:36:00
H0000218,2025-08-01,I002639,P001784,Main,CourseReserve,pending,4.6,
H0000220,2024-02-23,I005366,P001630,Main,CourseReserve,fulfilled,2.1,2024-02-25 02:24:00
H0000221,2025-01-27,I005341,P000340,Main,DVD,fulfilled,2.5,2025-01-29 12:00:00
H0000222,2025-04-13,I002373,P001721,Main,Book,fulfilled,3.9,2025-04-16 21:36:00
H0000223,2025-09-09,I005013,P000162,Main,Book,fulfilled,4.9,2025-09-13 21:36:00
H0000228,2024-01-30,I004757,P000846,Main,Book,fulfilled,7.3,2024-02-06 07:12:00
H0000231,2025-06-19,I003060,P001429,Main,CourseReserve,fulfilled,8.0,2025-06-27 00:00:00
H0000232,2025-04-10,I002363,P001658,Main,Book,fulfilled,6.3,2025-04-16 07:12:00
H0000233,2025-07-25,I002786,P001518,Main,Book,fulfilled,2.2,2025-07-27 04:48:00
H0000235,2024-05-01,I002455,P001222,Main,Book,fulfilled,11.1,2024-05-12 02:24:00
H0000237,2025-11-26,I000814,P000259,Main,CourseReserve,fulfilled,3.7,2025-11-29 16:48:00
H0000238,2025-08-08,I000075,P000101,Main,Book,fulfilled,9.9,2025-08-17 21:36:00
H0000239,2025-01-18,I005799,P001032,Main,CourseReserve,fulfilled,4.1,2025-01-22 02:24:00
H0000240,2025-09-02,I005122,P002234,Main,CourseReserve,fulfilled,4.5,2025-09-06 12:00:00
H0000241,2024-04-02,I004102,P002624,Main,Book,cancelled,9.9,
H0000242,2025-12-30,I002159,P002007,Main,Book,fulfilled,5.0,2026-01-04 00:00:00
H0000243,2024-05-02,I001700,P001477,Main,Book,expired,4.3,
H0000248,2025-09-01,I000035,P002780,Main,CourseReserve,fulfilled,4.0,2025-09-05 00:00:00
H0000249,2025-01-27,I002776,P001166,Main,Book,pending,8.7,
H0000250,2025-12-02,I001259,P000848,Main,Book,fulfilled,2.4,2025-12-04 09:36:00
H0000251,2025-04-16,I003262,P000773,Main,Book,fulfilled,7.2,2025-04-23 04:48:00
H0000254,2025-08-16,I005783,P001128,Main,Book,fulfilled,8.6,2025-08-24 14:24:00
H0000255,2024-08-16,I004042,P002160,Main,Book,fulfilled,4.5,2024-08-20 12:00:00
H0000256,2025-01-08,I004384,P002219,Main,Book,fulfilled,3.9,2025-01-11 21:36:00
H0000257,2024-03-15,I003336,P002613,Main,Book,fulfilled,3.4,2024-03-18 09:36:00
H0000258,2025-05-30,I000111,P001505,Main,Book,expired,5.6,
H0000261,2025-12-16,I003082,P002678,Main,Laptop,fulfilled,6.6,2025-12-22 14:24:00
H0000262,2025-12-15,I005147,P002404,Main,Book,fulfilled,6.2,2025-12-21 04:48:00
H0000263,2024-04-03,I000384,P002039,Main,DVD,fulfilled,4.1,2024-04-07 02:24:00
H0000264,2024-03-15,I000908,P001032,Main,Book,fulfilled,5.4,2024-03-20 09:36:00
H0000266,2024-04-03,I002928,P000228,Main,CourseReserve,fulfilled,3.0,2024-04-06 00:00:00
H0000267,2024-10-14,I004305,P000415,Main,DVD,fulfilled,8.5,2024-10-22 12:00:00
H0000270,2024-07-12,I003261,P000041,Main,Book,fulfilled,6.6,2024-07-18 14:24:00
H0000272,2024-01-23,I000272,P001399,Main,DVD,fulfilled,4.6,2024-01-27 14:24:00
H0000273,2025-06-03,I002005,P000876,Main,Book,fulfilled,3.5,2025-06-06 12:00:00
H0000275,2024-07-26,I002405,P001404,Main,Book,fulfilled,3.0,2024-07-29 00:00:00
H0000279,2024-05-13,I005206,P002150,Main,Book,fulfilled,8.5,2024-05-21 12:00:00
H0000280,2024-05-27,I002282,P002512,Main,Book,cancelled,5.2,
H0000281,2024-12-26,I001046,P000552,Main,Book,cancelled,4.7,
H0000282,2024-03-03,I005697,P001340,Main,Book,pending,10.8,
H0000283,2025-05-28,I000680,P001607,Main,DVD,fulfilled,8.6,2025-06-05 14:24:00
H0000285,2025-07-04,I001698,P002773,Main,Book,fulfilled,3.5,2025-07-07 12:00:00
H0000286,2024-11-14,I001282,P001612,Main,Book,fulfilled,4.9,2024-11-18 21:36:00
H0000287,2024-01-04,I000774,P002945,Main,Book,fulfilled,3.8,2024-01-07 19:12:00
H0000288,2024-05-11,I004374,P001815,Main,Book,fulfilled,5.0,2024-05-16 00:00:00
H0000289,2024-08-05,I000838,P000454,Main,Book,expired,4.6,
H0000290,2024-11-16,I003489,P002037,Main,Book,expired,4.6,
H0000292,2025-03-21,I002050,P001835,Main,Book,fulfilled,5.7,2025-03-26 16:48:00
H0000293,2025-03-02,I003587,P001513,Main,Book,fulfilled,3.2,2025-03-05 04:48:00
H0000294,2024-06-19,I005937,P002350,Main,Book,fulfilled,3.3,2024-06-22 07:12:00
H0000295,2024-06-24,I003802,P001003,Main,CourseReserve,fulfilled,7.0,2024-07-01 00:00:00
H0000296,2024-03-13,I000639,P000975,Main,Book,expired,8.7,
H0000300,2025-03-07,I002065,P002463,Main,Book,fulfilled,4.4,2025-03-11 09:36:00
H0000304,2024-03-01,I004979,P002029,Main,Book,pending,10.4,
H0000305,2024-10-02,I000629,P001604,Main,Book,fulfilled,4.1,2024-10-06 02:24:00
H0000306,2024-03-03,I000106,P000101,Main,Book,expired,3.4,
H0000308,2025-02-18,I003734,P002632,Main,Book,fulfilled,4.6,2025-02-22 14:24:00
H0000309,2025-03-03,I003060,P000512,Main,CourseReserve,expired,4.3,
H0000313,2024-04-23,I004423,P002581,Main,Book,fulfilled,5.6,2024-04-28 14:24:00
H0000316,2025-08-23,I004551,P000080,Main,CourseReserve,pending,7.1,
H0000317,2025-06-01,I004309,P000627,Main,DVD,fulfilled,1.5,2025-06-02 12:00:00
H0000318,2025-08-29,I005852,P000938,Main,CourseReserve,fulfilled,3.3,2025-09-01 07:12:00
H0000322,2025-05-10,I003120,P002901,Main,Book,fulfilled,4.4,2025-05-14 09:36:00
H0000324,2025-02-21,I005818,P001925,Main,Book,fulfilled,6.3,2025-02-27 07:12:00
H0000326,2024-09-23,I000263,P002094,Main,Book,fulfilled,4.2,2024-09-27 04:48:00
H0000327,2025-09-17,I002843,P002852,Main,Laptop,pending,6.3,
H0000329,2024-01-13,I003730,P001800,Main,Book,fulfilled,6.0,2024-01-19 00:00:00
H0000333,2024-01-31,I002811,P002004,Main,Book,fulfilled,7.4,2024-02-07 09:36:00
H0000335,2025-04-08,I001161,P001019,Main,DVD,fulfilled,10.2,2025-04-18 04:48:00
H0000336,2025-10-04,I004792,P002452,Main,CourseReserve,expired,11.5,
H0000339,2025-09-13,I004584,P002424,Main,Book,fulfilled,6.3,2025-09-19 07:12:00
H0000340,2025-07-23,I005484,P002404,Main,Book,fulfilled,4.4,2025-07-27 09:36:00
H0000341,2024-02-04,I000250,P002683,Main,DVD,fulfilled,4.0,2024-02-08 00:00:00
H0000342,2024-10-14,I003402,P000823,Main,Book,fulfilled,6.1,2024-10-20 02:24:00
H0000343,2024-09-21,I000072,P001397,Main,Book,fulfilled,4.1,2024-09-25 02:24:00
H0000344,2025-11-18,I001107,P001380,Main,Book,fulfilled,8.3,2025-11-26 07:12:00
H0000345,2025-05-14,I002003,P000762,Main,Laptop,cancelled,8.2,
H0000347,2025-05-03,I000139,P001688,Main,Book,pending,5.7,
H0000348,2025-05-26,I005818,P002790,Main,Book,fulfilled,19.9,2025-06-14 21:36:00
H0000351,2024-11-15,I004969,P001492,Main,CourseReserve,cancelled,3.7,
H0000352,2024-12-05,I003764,P002928,Main,Book,fulfilled,8.6,2024-12-13 14:24:00
H0000353,2024-08-02,I004281,P002328,Main,Book,fulfilled,5.5,2024-08-07 12:00:00
H0000354,2025-05-22,I000822,P000355,Main,Book,fulfilled,4.4,2025-05-26 09:36:00
H0000356,2024-02-22,I001639,P001041,Main,CourseReserve,cancelled,3.1,
H0000358,2025-10-20,I001180,P002673,Main,Book,fulfilled,4.0,2025-10-24 00:00:00
H0000360,2025-10-22,I003329,P001992,Main,Book,fulfilled,5.1,2025-10-27 02:24:00
H0000361,2025-09-27,I003059,P002248,Main,Book,fulfilled,3.5,2025-09-30 12:00:00
H0000362,2025-05-29,I000718,P001393,Main,CourseReserve,fulfilled,8.3,2025-06-06 07:12:00
H0000365,2024-06-28,I004631,P002282,Main,Book,fulfilled,1.6,2024-06-29 14:24:00
H0000366,2025-05-14,I005038,P001343,Main,CourseReserve,cancelled,5.9,
H0000367,2024-02-21,I005980,P001856,Main,Book,pending,6.0,
H0000368,2025-10-25,I005345,P002267,Main,CourseReserve,fulfilled,7.6,2025-11-01 14:24:00
H0000369,2025-04-25,I000811,P001327,Main,CourseReserve,fulfilled,3.4,2025-04-28 09:36:00
H0000371,2024-06-05,I000467,P001437,Main,Book,fulfilled,2.7,2024-06-07 16:48:00
H0000372,2024-10-11,I005510,P001149,Main,Book,cancelled,3.0,
H0000373,2024-08-10,I003235,P000682,Main,Book,pending,3.5,
H0000375,2024-05-22,I001615,P002619,Main,Book,fulfilled,11.8,2024-06-02 19:12:00
H0000376,2025-09-28,I005447,P001244,Main,Book,fulfilled,6.2,2025-10-04 04:48:00
H0000378,2024-09-14,I005109,P002815,Main,Book,fulfilled,8.4,2024-09-22 09:36:00
H0000379,2024-12-04,I001137,P001352,Main,DVD,fulfilled,12.7,2024-12-16 16:48:00
H0000381,2025-04-18,I004158,P002204,Main,DVD,fulfilled,2.5,2025-04-20 12:00:00
H0000383,2025-04-18,I004338,P002246,Main,Laptop,pending,1.9,
H0000385,2025-04-02,I002784,P000389,Main,DVD,fulfilled,7.7,2025-04-09 16:48:00
H0000387,2024-05-09,I004648,P001767,Main,Book,fulfilled,4.0,2024-05-13 00:00:00
H0000389,2024-08-05,I004159,P002984,Main,CourseReserve,fulfilled,7.9,2024-08-12 21:36:00
H0000390,2024-08-16,I002021,P002579,Main,CourseReserve,fulfilled,3.7,2024-08-19 16:48:00
H0000391,2025-06-23,I002344,P000781,Main,Book,cancelled,9.7,
H0000393,2025-05-02,I005014,P002626,Main,Book,fulfilled,9.0,2025-05-11 00:00:00
H0000394,2025-03-24,I002561,P001327,Main,DVD,fulfilled,3.6,2025-03-27 14:24:00
H0000397,2024-10-22,I004536,P000036,Main,Book,fulfilled,5.5,2024-10-27 12:00:00
H0000399,2024-01-19,I005754,P001285,Main,DVD,fulfilled,4.7,2024-01-23 16:48:00
H0000402,2024-02-10,I004960,P002942,Main,Book,fulfilled,6.7,2024-02-16 16:48:00
H0000403,2024-04-01,I001795,P001450,Main,Book,fulfilled,4.9,2024-04-05 21:36:00
H0000404,2024-09-04,I005390,P001972,Main,DVD,expired,3.6,
H0000407,2025-06-29,I001942,P002799,Main,Book,fulfilled,3.2,2025-07-02 04:48:00
H0000410,2024-05-25,I003110,P002719,Main,Book,fulfilled,2.5,2024-05-27 12:00:00
H0000411,2024-12-26,I005298,P002811,Main,Book,fulfilled,5.4,2024-12-31 09:36:00
H0000415,2024-03-19,I004522,P000078,Main,Book,pending,8.4,
H0000416,2024-01-31,I003812,P002067,Main,Book,fulfilled,4.7,2024-02-04 16:48:00
H0000417,2025-12-10,I001301,P001440,Main,Book,fulfilled,4.0,2025-12-14 00:00:00
H0000422,2024-08-13,I003147,P002039,Main,Laptop,fulfilled,3.3,2024-08-16 07:12:00
H0000423,2025-10-23,I004880,P001037,Main,DVD,fulfilled,11.3,2025-11-03 07:12:00
H0000424,2024-09-10,I005683,P002471,Main,Laptop,fulfilled,5.2,2024-09-15 04:48:00
H0000425,2025-09-06,I003478,P000500,Main,Book,fulfilled,5.3,2025-09-11 07:12:00
H0000426,2024-04-09,I005150,P002311,Main,Book,cancelled,6.8,
H0000427,2025-11-09,I000424,P000190,Main,Book,fulfilled,6.5,2025-11-15 12:00:00
H0000429,2024-02-08,I003710,P002820,Main,CourseReserve,fulfilled,4.4,2024-02-12 09:36:00
H0000430,2025-05-15,I003634,P002671,Main,Book,fulfilled,10.7,2025-05-25 16:48:00
H0000431,2025-01-16,I001790,P000908,Main,Book,fulfilled,5.7,2025-01-21 16:48:00
H0000433,2025-08-14,I003385,P002902,Main,Book,fulfilled,5.4,2025-08-19 09:36:00
H0000435,2025-08-31,I003098,P002371,Main,Book,cancelled,3.8,
H0000437,2024-08-01,I002955,P001430,Main,CourseReserve,expired,7.3,
H0000438,2024-05-12,I002838,P000190,Main,Book,fulfilled,8.4,2024-05-20 09:36:00
H0000442,2025-01-20,I004382,P002600,Main,Book,fulfilled,5.3,2025-01-25 07:12:00
H0000444,2025-08-07,I001442,P000658,Main,Book,fulfilled,5.0,2025-08-12 00:00:00
H0000446,2025-04-07,I003705,P000598,Main,CourseReserve,fulfilled,7.9,2025-04-14 21:36:00
H0000447,2025-05-18,I000070,P002376,Main,CourseReserve,expired,14.0,
H0000451,2025-04-15,I001361,P000333,Main,Laptop,expired,2.1,
H0000453,2025-05-29,I005083,P000086,Main,DVD,fulfilled,9.8,2025-06-07 19:12:00
H0000455,2024-02-13,I005130,P000711,Main,DVD,fulfilled,6.7,2024-02-19 16:48:00
H0000456,2024-03-14,I002028,P001325,Main,CourseReserve,fulfilled,7.9,2024-03-21 21:36:00
H0000457,2025-07-13,I002680,P002078,Main,Book,fulfilled,4.5,2025-07-17 12:00:00
H0000458,2024-02-15,I002959,P001447,Main,Book,fulfilled,5.7,2024-02-20 16:48:00
H0000459,2024-06-13,I004908,P001850,Main,Book,fulfilled,3.6,2024-06-16 14:24:00
H0000460,2024-10-21,I002293,P001281,Main,Book,fulfilled,7.6,2024-10-28 14:24:00
H0000461,2025-01-19,I001474,P000871,Main,Book,fulfilled,7.3,2025-01-26 07:12:00
H0000462,2025-06-21,I000567,P001694,Main,Book,fulfilled,4.5,2025-06-25 12:00:00
H0000464,2025-12-05,I004378,P000302,Main,DVD,fulfilled,8.7,2025-12-13 16:48:00
H0000465,2025-08-08,I001537,P001301,Main,Book,cancelled,2.8,
H0000466,2024-11-25,I000846,P002337,Main,Book,expired,5.8,
H0000467,2025-02-08,I002773,P000900,Main,DVD,fulfilled,6.8,2025-02-14 19:12:00
H0000469,2024-08-25,I002644,P000310,Main,Book,pending,7.6,
H0000470,2025-12-07,I001047,P000285,Main,Book,pending,4.5,
H0000471,2024-11-18,I004852,P000103,Main,Book,fulfilled,4.7,2024-11-22 16:48:00
H0000473,2025-05-29,I003074,P001534,Main,Book,fulfilled,2.7,2025-05-31 16:48:00
H0000474,2024-04-28,I004391,P001227,Main,Book,fulfilled,6.9,2024-05-04 21:36:00
H0000475,2025-02-03,I001520,P002654,Main,CourseReserve,fulfilled,3.8,2025-02-06 19:12:00
H0000476,2025-01-19,I002757,P000863,Main,Book,fulfilled,12.6,2025-01-31 14:24:00
H0000477,2024-05-02,I004839,P000976,Main,Book,fulfilled,4.4,2024-05-06 09:36:00
H0000478,2024-03-24,I003778,P001049,Main,Book,fulfilled,9.6,2024-04-02 14:24:00
H0000479,2024-08-29,I004575,P001207,Main,Book,fulfilled,5.0,2024-09-03 00:00:00
H0000480,2024-04-07,I002071,P002715,Main,Book,cancelled,7.2,
H0000482,2024-01-17,I000187,P000262,Main,DVD,fulfilled,11.1,2024-01-28 02:24:00
H0000483,2024-10-06,I002986,P000945,Main,CourseReserve,fulfilled,9.0,2024-10-15 00:00:00
H0000484,2025-10-08,I003402,P002599,Main,Book,fulfilled,6.7,2025-10-14 16:48:00
H0000486,2025-05-11,I003562,P001772,Main,DVD,fulfilled,2.8,2025-05-13 19:12:00
H0000487,2024-08-28,I000352,P001991,Main,DVD,fulfilled,4.5,2024-09-01 12:00:00
H0000489,2024-06-27,I004592,P001062,Main,Book,fulfilled,3.1,2024-06-30 02:24:00
H0000490,2025-11-26,I001736,P002608,Main,Laptop,fulfilled,12.9,2025-12-08 21:36:00
H0000492,2025-03-25,I002825,P002714,Main,Book,expired,9.2,
H0000493,2025-08-04,I000109,P001871,Main,Book,fulfilled,6.2,2025-08-10 04:48:00
H0000498,2024-06-18,I005628,P001256,Main,Book,fulfilled,3.4,2024-06-21 09:36:00
H0000499,2024-10-17,I002859,P000323,Main,Book,fulfilled,12.2,2024-10-29 04:48:00
H0000500,2024-07-03,I000352,P000207,Main,DVD,fulfilled,7.5,2024-07-10 12:00:00
H0000502,2025-04-23,I003186,P000067,Main,Book,fulfilled,6.8,2025-04-29 19:12:00
H0000505,2024-07-29,I005669,P000843,Main,Book,fulfilled,3.5,2024-08-01 12:00:00
H0000506,2024-05-26,I002127,P002362,Main,Book,fulfilled,5.5,2024-05-31 12:00:00
H0000507,2025-01-05,I000300,P002684,Main,Book,fulfilled,6.3,2025-01-11 07:12:00
H0000509,2024-11-11,I000367,P000989,Main,CourseReserve,fulfilled,3.2,2024-11-14 04:48:00
H0000510,2024-09-08,I002901,P001491,Main,Book,fulfilled,6.1,2024-09-14 02:24:00
